ID,text,GENDER,AGE
a344ae5613229a4e0e4b3dc4a99e4ab8,half moon ... http://t.co/l4X8xWf ... #photos ... #flickr ...,MALE,35-49
3fffe236fed0e6e3c3b85b87683a1893,Working on a new mid-size to small series that I'll launch with my Spring Art Shows. To see current works visit www.alicialeeke.com.,FEMALE,35-49
0cabd31fe66ee301d3071e16cb6779a3,@CIKM2011 @fcrestani We do! -&gt; Accepted papers for the #cikm2011 PhD Workshop in Knowledge management (PIKM 2011): http://t.co/G6mYLiH,MALE,25-34
f1c9929754d150ad2f04203d5d812c5c,Leapfrog names 65 best hospitals in the country for 2010 | Healthcare IT News http://bit.ly/fRIyz1,FEMALE,50-64
fcf9555aa8e3d8acffdc5e5759ebd291,"Is graphics finally mature for the web. WebGL is so far the best way
http://lnkd.in/YBu4JH",MALE,35-49
c18eb25f7e2969efe1484be29f9ee3e0,"Flirting at the grocery store. Shopping says I'm responsible. My selection of trail mix, jerky and gummi bears says I'm single. 

Nailed it!",MALE,25-34
a9c26924b6dda074bbdb2511a38d3d56,A Free Webinar: The Dos & Donts of Government Contracting- Sharing Best Practices http://dlvr.it/9XjkL,FEMALE,50-64
867ba4b6f08704fe89a81dfa6f40aaf7,fabrik 2.0b3 out - role on the next release candidate :),MALE,35-49
1c674f4da09702648fa1de63230a68de,Last work for #Neo2 mag http://bit.ly/qJMOHy,FEMALE,35-49
834c49eb87d78c8d56e5a7c3b76b2391,Return http://goo.gl/fb/rFEfM #beauty,FEMALE,35-49
f7f564bb8997db9f6d6dac4b52534ba5,"The Australian IR conference, ADCS is coming soon http://t.co/Fm3v7nq Are retro web sites now in fashion? #adcs2011 #in",MALE,35-49
ab70027ac0e4d42b9125fe611f6c3f6b,Het is maar een naar ding: barbecueverbodsbord #vondelpark http://at5.nl/s/hj8 #fb,MALE,25-34
ff8f20e177721b8a8ed79f8d8844379c,"Devising a 3 hour workshop entitled 'Managerial skills for enhancing well-being and creativity'. What to include, in your opinion?",FEMALE,35-49
43f91a92a71bebf5590b1b5fc2d94ee4,Me at 8.43pm http://bit.ly/hHcs1T,MALE,35-49
a8367cb456aaea837429fa44bc282a39,Started QuoteCompiler lets see what today did to my stocks :-(,MALE,25-34
49c857ec61f84c61ade46522c4fc149b,Absolutely Artistic Reiki: What to Expect During A Reiki Healing Session http://t.co/PHLDbZM,FEMALE,65-xx
f1255c2fcffdf239f4146d03acf02f19,Deleting old domains and sub-domains I haven't used in over 4 years,MALE,25-34
bc9ddf93f89fa252d7b291f1aaaf62fb,@lukeniuk Tack m?n! Kul som fan att tr?ffas!,MALE,35-49
ed9d28f8b48cbbc22905eb0e4939a971,"@dweekly Thanks David, I'm safe and sound but this is all pretty unsettling! Hopefully everything gets under control asap!",FEMALE,25-34
1fdd04c26f06b99676108652dc4d443f,"You (YOU!) Can Take Stanford's 'Intro to AI' Course Next Quarter, For Free - IEEE Spectrum http://bit.ly/pMgs4S",MALE,35-49
0670da17ac936e666c98a3b399fd1f86,"Browser stats, IE 42%, FF 28%, Chrome 22% - looks like they'll all settle at 30-35% of market share each at Christmas.",MALE,35-49
9184e39db1647193a8dbcbc66d9cd8d9,$$: Information Arbitrage - Sound thinking for unsound times http://ow.ly/5Zggq,MALE,35-49
42ba84d14529d860da6786ee6c60b2b5,Just favorited 'De Howard Dean a Obama MAICOP' on SlideShare. http://slidesha.re/ge2V8E,MALE,50-64
046558ebe99f72a0f5c066e14fe02df3,Thinking that @dojotoolkit may find my dojo box and whisker plot interesting http://tinyurl.com/box-and-whisker,MALE,35-49
1f4bb4451c85115fae498a49a936a66b,Social Leopard: How to master and command the eRiots. http://t.co/miSm5Fj,MALE,50-64
f5cea01c991fe4ef97d8a83de93f0185,@JobHits: Business Development Manager - Banking Services job in London at Sage Personnel http://t.co/Jl7aIjr,FEMALE,35-49
8fcb64811fd61f1c81c31cd3197f4b6c,"@jen_thompson Thumbs down! Alas, I shall go forth and craft by my lonesome. Will see if I can't improve upon my 2 hours-per-pinecone rate.",FEMALE,25-34
9319fcefef4c46f05ee84e13f48b1751,meet Karen Lee! :D,FEMALE,18-24
6321d152d84095b8724cfd7cdd1275ed,I am retiring my free LinkedIn mini course -- get it now if you want it... http://t.co/BuGpV2w -- and you'll be notified about the new one!,MALE,50-64
d663450f605a9f3890e91be8053659c2,Jumbo Sweet...yup!  http://yfrog.com/kjujwltj,FEMALE,35-49
0bfaccdd2fc203c391f54cbfb8304fde,Santacan the digital economy save us?: http://t.co/BoXhq3C via @AddThis,MALE,50-64
f116c5d886e283ead171e166b431a32f,Morgan Freeman deserved the OSCAR for INVICTUS. His portrayal of President Nelson Mandela was simply AMAZING!,FEMALE,25-34
6b7879b5036f18752ff29f13fa20e976,#FF @NinaChantele Nina!  I actually met my freebie last month!  Sam Witwer from Being Human! #BeingHuman @SyFy Grwlll! http://t.co/dG7tDOD,FEMALE,35-49
850b311e0d414ab087c222d86cfa571d,Happy Moodle 2.1 Release Day!|Moodle News http://t.co/gCocCFV via @moodlenews,FEMALE,25-34
7b684f506237157264bde105aee491e7,www.haxel.com and the new ICIC website http://haxel.com/icic/2010/meeting is online .... feedback welcome,MALE,50-64
18b3dbc0bbe1dd57446d5c9bc26e17d8,Interesting article. http://lnkd.in/Tn-mXQ,MALE,50-64
b9bb3391de9efeb823f9286baf74a90a,"I love sessions with terms like MOO, MUD, MUSH and MUVE! Sitting in on #AOM2011 Second Life session at Grand Hyatt Bonham B",FEMALE,35-49
85ec741f5abaf5b32b29bd48ec786aea,"Watched ""little miss sunshine"" again - always good...",MALE,25-34
88406000b5e489453db73826b7c09fb4,"@phylogenomics I'm mobile today, but heard you're having issues w docs vanishing. Cld you email me a verbose log file? 'Help&gt;FAQ' 1/2",MALE,35-49
d8e25e3185ce770d2d8bbe2a2f650838,New ISTE Mobile App: http://bit.ly/byaN0M,MALE,35-49
b8627c2b2f73d5a0dd26893b64f9fd6a,Buscando zapatillas de running #fb (@ Decathlon Bonaire) http://t.co/84cPi3q,MALE,35-49
8211665b75fd407958e037fa4b49113a,Little Cranberry Island - Two Very Basic Churches http://t.co/jkzxGzH,MALE,50-64
5e229742c224c13d32d71fc8a5e15fda,"""A Probabilistic Method for Inferring Preferences from Clicks"" with Shimon Whiteson and Maarten de Rijke #cikm2011 http://t.co/5F2PPsn",FEMALE,25-34
8752b28c27e736ed24b2e66a57fb51b3,The Bonnie Books are available for the holidays! http://www.poppetpress.com They make great gifts for horselovers!,FEMALE,50-64
914b6a1afc7b2a0fe8942652d08a08d4,"'Nit Gin Jazz, la fusi? perfecte. Clausura del Festival { Interludi }' 1 New Publication for 'Ara' at http://t.co/K1VTC08 (PUBLICATIONS)",MALE,35-49
e3dbc57577fe8f9112780feef7e6db7f,I liked a @YouTube video http://t.co/l8DdapO The Beatles We Can Work It Out (2009 Stereo Remaster),MALE,50-64
ab3a2a63d347881bb3e58f8fc004f29a,About to get on an exciting panel at Grow 2011 in Vancouver,MALE,35-49
8dff47aa86a53489eb367e2a8e010da2,I wish there was a late night #drivingrange. I'm losing to many #golf balls I need more practice!,FEMALE,25-34
34f643a265e43979f5f82d9883fc58ef,transfering technology to a new spin-off UPC company,MALE,35-49
06397fdfd86224178edc2956b5aa00a0,"@marenhogan your own, like usual",MALE,35-49
78fc5b7dd2fe4277e1af41930ac2a683,"If you've been involved in an auto accident, you may have ""hidden injuries"" in your spine.  www.redapplewellness.net http://t.co/eN5sPCg",MALE,35-49
8a2d7d7f43ba5a485b3726d250e34f00,"Come to ""Algo M?s Inesperado Que La Muerte"" Wednesday, March 24 at 8:00 pm until &lt;br /&gt;Saturday, April 24 at 11:00... http://fb.me/7kLR3SI",FEMALE,50-64
e51aed25eaa38a45d62d4b296a6a1adc,Ingles Intensivo (40hs) en Torrent (VLC) - http://t.co/s71u0u6,FEMALE,50-64
e5d6dffa923d21814f9af8efddd1f69a,"Start doing things you #love! Live your dream and #share your passion.
http://t.co/A7GSlgE via @AddToAny",FEMALE,18-24
dcc318bcb4a4036655a0843b4fe7942e,"When all else fails, it's #pinterest time! http://t.co/0TdEDHi",FEMALE,35-49
3a10739fe58c090a02f4a0f69fa58237,After quite some time working on different things: Running some  experiments on content extraction from web documents again...,MALE,35-49
4cb0689ef8198e2977edd1ba4fa66271,In Search Of: Google Plus Federation | eWEEK Labs http://t.co/XEPazR7,MALE,35-49
8e7562bff1d3f565b534248229302e3b,Aphorism I http://t.co/ApC9cGX,FEMALE,50-64
8296b295cad03c188f7c7e3f493cd51b,"Veient el partit del Bar?a en un hotel a Manchester, i ... gol the Thiago! aquest nano es impresionant.",MALE,35-49
63d9d386183bef9b62ee0ff8854eb16d,And this is why some searches need ontologies - Search systems not linked to ontologies are like non-native... http://t.co/UyEMLhJ,FEMALE,35-49
50939db84bbbfd141c957bc64f883b1e,3 Days to Race Day! http://bit.ly/c5VdTB,FEMALE,50-64
dffbd25e749b3773c79a3439b11b7dc4,Berri are now on twitter!!,FEMALE,25-34
d3fabf6946d59b69ce52039159451465,"""Chance is like a picture, it'd be nice if you'd just take it.""",FEMALE,18-24
c0d8318cea7ddcab350ea30e709770b5,@xMediaOutlet I am! Currently work in Foster City. How about yourself?,FEMALE,25-34
1b3c2c2e5621369296cf39e31bbf587a,"@TomNixonSpeaks, sign up for Klout and see how we compare! http://t.co/ta6ZDCUy",MALE,50-64
a7706ffe162a9fe8def003aa74fa93d9,Newsweek Tracks Women's Progress Around the World http://t.co/YrmaeaEw v?a @newsweek,FEMALE,35-49
24776dde2e6e010211c84fb2697fbf5f,"@piersmorgan Ask Morgan about his show, ""through the wormhole.""  What made him produce a science show?  Thank you!",FEMALE,35-49
7640d65e4b2ed645cac2939a03e7fdbe,Surprise! My friend DNA: Tim is most like me. My friends are 17% single and 48% girls. Find yours: http://t.co/eXgcJKL via @shoutflow,FEMALE,50-64
8f9b42818dbf473cb03b8674c51e997d,Azure Monitor para Windows Phone 7 http://t.co/ktbmdebp,FEMALE,35-49
198667a4ee2ecdb483f95949c5241221,Healthy living is a mindset - get in the habit of being kind to yourself and it will be addictive!,FEMALE,35-49
81d84246a74d608f3ee63a106cbb043b,@Bluesinda que linda foto! :D,FEMALE,25-34
b151855595ba6297601acac77e066f4d,"Land Rover Evoque @womenalia Design, Os gusta? http://t.co/9tvFWH44",FEMALE,35-49
a2213520beaff2774840d47361d38a21,Alzheimer's Resource Center and Lifestyle Trends for Seniors http://t.co/j98Ihpa0,FEMALE,35-49
27eaf3ef7ba1bd6c7cd0858eb1b24f71,I'm at A. W. Smith http://t.co/eziHy0zL,MALE,35-49
da9b304556d8c50868b4fdbc7889d899,@bassoforhire http://t.co/mAhbHHwW,MALE,50-64
109e2d7308fea8e9506b1109acbb714a,A year on since the 2011 Brisbane floods http://t.co/u4iBgDMO by @jothejrno #brisbanefloods #qldfloods #disaster #australia,FEMALE,35-49
8cdf796813bd708fc1fc4f7fb6434592,"Floor lamp recall: We have a Contact 13 consumer alert. Big Lots is recalling more than 43,000 Classic Quarters ... http://t.co/3RpnSaEV",FEMALE,35-49
7bdab06d076f5d4b28dd74ab728a3a82,@jmantissa awesome! http://t.co/FfUF68Te,MALE,35-49
e28518a6d7f1f0d8c6bb8b67c2fa2ec3,FBI seeking social media monitoring tool http://t.co/5YzqFLFF ... they're not alone!,MALE,50-64
1b4fb470c6e31ca02de14bfd2260e395,@tjfaust nice! have an amazing time. you going to be blogging or anything?,FEMALE,25-34
55103440f765e8679f65b1481b1824de,Such a sweet painting! Happy to sell a giclee of it! http://t.co/6C3ktGJG,FEMALE,50-64
59efe758f891b8a9079a6e7dd63d90f7,Lets get it started :-),FEMALE,25-34
c063767ca9bd86f837c640b61e4dc48c,@TweeteRR Thank you :-),MALE,25-34
feda36041d4d3392bb5a923b5d35cf8a,Updated Version Of iOS Shipping Today With New Languages For Siri http://t.co/BMVDSucX via @sai_tools,MALE,50-64
50dd14655c35f3508120aa1be5240aee,research #developer #job in semantic web/linked data and #disasters at @astonuniversity in #birmingham http://t.co/grSglT7c please RT,MALE,50-64
255a34d27511e4428a9b98d4ecab828d,@ArinataThub: @FlagEdgeDenim answer is mr. @RZYGA the creator and upload photos in web! cc: @FlagEdgeDenim,MALE,25-34
841d5aa8a974a9285c72655eaf0f459f,Tax stuff is to the accountant!!  Makes you stay in check with your business and lifestyle.,MALE,50-64
7552b1851fb84d44ec0972f8ab98dc05,"Ashton Kutcher to play Steve Jobs - Entertainment News, EXCLUSIVE, Media - Variety: http://t.co/bF3ttV6r via @AddThis",FEMALE,35-49
474ef8317258e1fd46e0aab2efcdb769,Today we launched FDA's Innovation Pathway: http://t.co/6n1RFYHc,FEMALE,35-49
6aabca05271c39275b4aca27f6d954b3,The Unfortunate Misappropriation of Social Health by Social Media Hypersby @HealthIsSocial http://t.co/abNY6J5f,MALE,50-64
3da4e3b8d22539df56d7777d512597ac,#Colombia: El Espectador critica en su editorial a la #LeyLleras 2.0 http://t.co/vwZ04HGB,MALE,35-49
84d409794875b336637ae806102bf883,J'ai mis en ligne une vid?o @YouTube. http://t.co/U1bBkCJ2 VID_0194: Thinking the Unthinkable - Exhibition ph,MALE,65-xx
b2fa3a87af1d36fac18e63656d2ccc4c,The #wnba Daily is out! http://t.co/24aXjwpI ? Top stories today via @tulsashock @brian_agler @espnrachel @sportnewsjunkie @basketmeter,FEMALE,50-64
84cc4079564a58f5840ff1f4c4e68421,"@dwakabayashi Tx for follow, be sure to check out Susan Rich Talks 8 am PT on http://t.co/brkcsHtf, lots of marcom/writing chat.",FEMALE,35-49
e3cdd573b784b958a109245064deaa1e,House shopping! #venice @amandalunt  http://t.co/ZpJNznln,FEMALE,25-34
35aa516c42ad918aa5d708b6a946622d,Unprocessed pain eats you away,FEMALE,25-34
fd0de6977f28814aed2373bdad80f25f,Good stuff! RT @MarketingProfs: 5 Must-Have #Pinterest Tools for Content Marketers http://t.co/qBvv3jLz,FEMALE,35-49
164c6673610abc68eb0c72aa41a97cea,Listening to @clsaarinen's wonderful preso on meaningful discussions. Amazing how she creates an environment of safety online. #instcon12,FEMALE,35-49
1377fc2c98ac09896ba48afcac24041a,@KimptonInNYC  please email me at ed (dot) salvato (at) yahoo #Eventi,MALE,50-64
7b4ded1c236ca7526ee7cba871361496,@ReikiColin Thanks for the RT! :),FEMALE,25-34
6258f7dbda64c7adde1313d8d1f0df41,Alan Turing: Inquest's suicide verdict 'not supportable' http://t.co/LrXGUPb5,MALE,25-34
e8be6f1c2d81db365e3a45d68bca53e7,#seo #news: Easy Optin Pro WordPress Plugin - Traditional Optin Use the effective email optin showcasing a photo or ... http://t.co/uJXlJjdB,MALE,35-49
ffa96a13101c4baee282ee042ace2192,"@howden_africa @davidrisherwr Hi Daniel, he is on a boat in Turkey- what is your timing? I can help you.",FEMALE,35-49
a8e83e6c3b5e83ae4814adcabe24b566,I'm at Cappuccino Lounge (Berlin) http://t.co/JnfBFOln,MALE,35-49
dd437ad97079318550a4fa2bd5b987fe,@joncoffey I try not to be obnoxious :) RT @hipstermermaid: First rule of gluten free club:Only talk about gfree club.All the time. Forever.,FEMALE,25-34
f55578648cedcd0d2bce8a5dc3b4839a,"The Startup Spouse: On Risks, Trade-Offs And Never Sleeping On The Floor http://t.co/BCOIfck7 via @dharmesh",MALE,35-49
a52427d0c793d146c90bd07d6f4decab,2012 #CSR &amp; #Sustainability Salary Survey Results Released http://t.co/cAXN0yXw,MALE,35-49
507c463cc5aebc45718577e4298eaf8d,"@LuxuryTravelMom How old is your teen girl? 
 #tmom",FEMALE,50-64
fc20afe042175ae4c882afb4f5328108,FF @Wolfhack,FEMALE,18-24
07ebe859a1b1368d566d7c4770590bf0,@WRadioColombia pena de muerte,FEMALE,25-34
a98eeac605cd9e26b5977b0f81cebad4,An Innovative Way How Blog Commenting Can Make You an A-list Blogger! via @IncomeMC,MALE,35-49
c2ec79a92ef680fa66bf2e0f6b028d0b,"*Drool*, Always an inspiration Sam. RT @sampaints: I did the album art for Vagina Panther's new record, Judge: http://t.co/AI9Wjm7q",FEMALE,25-34
2bb24f9aac3a11a4035e4f59329384a0,"Dear friend,
Like my Facebook Page
http://t.co/kSS7YWhH
I mainly share the posts of my blogs in this... http://t.co/QN2U5ij3",MALE,25-34
961baca73e7bcaa813ddb82c911af5ae,@michaelmiraflor congrats this trumps the Adidas Jeezy sneaker as the realest sponsorship in the game,MALE,35-49
c06f5b995c0670bcd509c412881cdcb4,Try something http://t.co/MCW5hTr2,FEMALE,35-49
32aabfdc71f461cf4293966c86892ac8,"@triplehash @jimmyschulz Die Masche der Verleger, Druck ?ber den Gesetzgeber auszu?ben, gab es auch schon vor dem #LSR: http://t.co/2H6J8i2s",MALE,35-49
e9a166e354f57ce68da7aa5baed2875d,"I'm at Imagining The Lowline (New York, NY) w/ 6 others https://t.co/FPJU1hzm",FEMALE,25-34
0bada0c8f61a201a18bf4075141375d2,@diplo: obama the creator vs asap romney 2nite unreal,MALE,50-64
76361e81acd553b0e3b7a56408d9f703,@Kostarof glup!!!,FEMALE,35-49
846d69c6a12322458d5cc03645f00d2e,Hey! Y el EQUIPAZO DE MENTORES tb! #iw_castellon,FEMALE,35-49
3c955d73c5ebc0aa6ef1778ee9f69143,@rafaelbeitia gracias por todos tus tweets,FEMALE,35-49
69449f79c930497121c2f0ea61608742,@ChuckWendig I have both read and not read your tweet.  This space for rent.,MALE,35-49
0002c5b3e462ba73a5d30b3ad2620b5c,L'Oreal Paris Advanced Hair Care http://t.co/6zIxvKAs,MALE,25-34
d89626612a9dd1fd6e4369ccf11538b0,U.S. brushes off Iran-Iraq-Syria gas line http://t.co/chekurZ8,FEMALE,35-49
2d62d55be4b8cee432ff50fcc58f7c0f,@lisiepeasie Folks at http://t.co/CMvc5Y7K. Pretty happy with their service so far,MALE,25-34
091e3da83de5db9520beda22548139a1,"Abraham Lincoln ""Things may come to those who wait, but only things left by those who hustle.""",FEMALE,65-xx
54b2f0256f67911b70b87d6a68628ac4,Jason Fried: Porque el trabajo no sucede en el trabajo? o Why work doesn't happen at work http://t.co/jTtsDgqN #TED,FEMALE,25-34
289004eb14d7861c49886dc80341faed,Problem?tica del Analista es a Cu?l Jugador Registrar el BP ? Game Analyst Problem is to Which Player Register t... http://t.co/rfJ2W575,MALE,65-xx
c2d154a5187ea776fa043ba05e609683,@GAIAprogram I don't think so! They're more than art ;) #gaiaprogram,MALE,35-49
31e6507a6c9e3dd9b612d9ecf0dd19f2,@_mattuna haha,MALE,18-24
65fb2f3d116f165cb28bc06b9193698d,@Illustruction oooh like the driving game where you make up words for the last three letters of the license plate of the car in front?,FEMALE,25-34
62f2bfa6f8e06224a840d7db3d3d82c5,Social Influencers Who Are Changing The World Through Twitter http://t.co/IfJrzhm via @FastCompany,FEMALE,50-64
de98f8c1c2d764ec8d720f65bef87963,BUENISIMOS DIAS A TODOS...ESPERO K TENGAIS LAS PILAS BIEN CARGADAS !!! Y A TODOS MIS ANUCIANTES.....IR PREPARANDO... http://t.co/JuJ6jZpu,FEMALE,35-49
246078902f43a1d61ec50b836cd697f9,Multi Estate Extravaganza Online Internet Auction Va http://t.co/3f1TWGI1 via @RasmusAuction,FEMALE,50-64
beb02d9aa361963df9ad8ae8c129673e,"TCF: Playing with My Christmas Presents--Retrieving Nicaea: Times, they do not change that much! Here I ... http://t.co/y6dzxpBd &lt;--More",MALE,35-49
a5699f2b94f800b4b7d07dfc1c584edc,"@charliejssmith Please, furnish me with the deets!",MALE,25-34
b26c7fc245ad94a020ba3c5116b77c84,"110""? http://t.co/YCLWPvcD",MALE,50-64
404ed461b4934a8d9cebb88b79c96763,Looking forward to the #blogchatie this evening. Here's what it's about http://t.co/9WzlpDlc,FEMALE,25-34
d10c215b5f74b6581759f9417705643c,It is a new year....resolve to minimize digital hoarding.  What's Wrong With Digital Hoarding? http://t.co/3E7V4IZi via @sharethis,FEMALE,35-49
dbf3cb02269e7d4aaecce7fdd6c2bd8e,"Ribbon - Lofi Synth - USB controller, very cool. http://t.co/dycZHIub",MALE,25-34
fd36e6c9c129dbdc501d7e4d4190fc9e,"Looking for Annie Downs? She's @anniedowns now, y'all. #switcharoo",FEMALE,25-34
e78d6f20b8a49a86f7f8e881c1b5e23d,@miketrick when two plugins interact... once I even had an infinite loop :(  But I should've had react when I noticed weeks ago. No excuses!,MALE,35-49
6140f05b5584fe98f1f5c037bfc2c1ab,"New London Calling Undisguised blog post, follow me on my London adventure: http://t.co/Yg3W6aYn",FEMALE,18-24
b95c6a927999dae0b5191d23a2f5f8c7,Aprende a escribir tweets irresistibles #Twitter http://t.co/OPm52MNH,FEMALE,35-49
ae92d835c48d852d70bb98be129c020e,"OMG! somehow i had always known, though we never talked about it. good for you! i wish you well! :)",FEMALE,35-49
21d2b5011380ee9ff0fe38610e0df7cb,Anyone.. HTC One launch webcast link????,MALE,25-34
7ab3481df42b67a461d29510c95b6c9f,Activist investor David Einhorn drops 'iPrefs' lawsuit against Apple http://t.co/PBLQesve3o v?a @guardian,MALE,50-64
b2497d6fdbbb6d1d7fe204b0fd06cff7,I can not live without coffee.,FEMALE,25-34
246bac3adfd4a85a1ee9e34d35aaef61,"The internet of things: ""smart"" objects offer advertisers new opportunities http://t.co/7ZVKhAiRmc in @HarvardBiz by @jeffreyrayport",FEMALE,50-64
1314fc6a94e836285722a99383b93385,"Hi back to you, @giselahausmann. Thx for the tweet and for browsing our site. What kind of ebook are you coming out with?",FEMALE,35-49
b487a16ffd91278f78f95101e1c56e35,@JMBergoglio in 2012: Jesus teaches us another way: Go out..and share your testimony..interact (cont) http://t.co/eZdbGIxr0t,MALE,50-64
a663d319369b4440d88c632d121fee83,@Salsaritas @fanniepak007 Pretty good! It hit the spot and was nice and light after a solid workout.,MALE,18-24
246989374f97a4c6214f7d034ec613cd,Should be interesting. http://t.co/UexQS6cTuf,MALE,35-49
c24762b3cb9afb4526f61d5a81ba1d79,Is #Depression Contagious? I think so... http://t.co/uyHe3Iyo6o #psychology,FEMALE,35-49
18b89888fae46f388530078c1ca30609,I just joined LinkedIn and created my professional profile. Join my network. http://t.co/QF3rNZgQSp #in,FEMALE,50-64
c1311addbd69244cbf58e04c4d89384a,Police Credit Social Media With Solving A Credit Card Case  http://t.co/jL3p8gcRO2,FEMALE,18-24
5e51d4e322ad30dc81af9af8e94dda12,A very racquets weekend http://t.co/QVX443v27K,FEMALE,25-34
da9bce62c6e7112ceb9ca97721109d0c,@AthleticClub @SevillaFC #porraAthletic 1-1,MALE,18-24
1fadbfc76f8413f77e57903d8666c0aa,"""Leaked Paper Reveals Wide Reach of America's Drone Killings""   realy #wtf  http://t.co/nTLjXdYhnZ",MALE,25-34
d83c532c9f34efeb281ca5c179902557,@cadencesport Please could you help me filling &amp; spreading survey about the formation image of Mallorca? Thanks. https://t.co/491HKtNBOd,FEMALE,35-49
11884d03be7adf098073070389a450a9,Muy interesante: ?Es el #Showrooming imparable? http://t.co/xU4zP6Jifc en @Ecommerce_es by @InstitutoInesdi #eCommerce,FEMALE,50-64
88f50838a2a9fe3db643c4c46f918fb3,"Hoy toca. 
http://t.co/9RMZMi2SFc",FEMALE,35-49
97552fa76499e6895eafdc0814aebdfe,Thinking About Fast Food and Flavor http://t.co/PREHmN2xWR via @HuffPostTaste,MALE,65-xx
88a2d0037c525eb52e012b0d3632b9df,@txinin estoy igual.,MALE,25-34
b0f19a521e60ec72decd0620819fbed6,"My second monitor's been blinking on and off, and my main monitor just stopped working. I feel like Otto from Sons of Anarchy.",MALE,35-49
43a77711f361feb28679ea5559dc140a,"Nueva imagen de Batman vs Deathstroke en el v?deojuego 'Batman: Arkham Origins'
http://t.co/iVsHVYQNOL",MALE,35-49
741580e20c1bbf84283248bb00f6e834,"@jherskowitz we have a hack day coming up, I might propose it ;-)",MALE,35-49
eb71a2f93b2ed43de2c75609c512eb46,Preparados/as @aymaricruz @thehealthyghost @ElenaCarazo @luque_shop @AMOesther @Plumartina @claudi_alfaro? #cataaromas,FEMALE,25-34
f837e9b8713d91c624b63b740df2c528,Thanks! RT @gmolino: Gmolino diario is out! http://t.co/4mXZU1ZDHK ? Top stories today via @mrgomezponce @Mr_Rockmantico @AlfonsoRomay,FEMALE,35-49
48b537f774fec1402d7b00f364a315e8,Se disparan VIH y prostituci?n en Grecia @zerohedge: Greek Prostitution Soars By 150% As Youth Unempoyment Hits 75% http://t.co/qBlr6Zpgw0,FEMALE,25-34
a34d08cd72a393de9a435ea3b8e17b1b,Photo: Ive decided that I want a #StellaScooter &amp; get the sidecar. P-series #Vespa w/ modern reliability.... http://t.co/uuB1cKGeeG,MALE,25-34
240deaa8c134119da0b909bad8471f72,Mejora tu marketing web online monitorizando a la competencia http://t.co/tAIUrZGrEh,FEMALE,35-49
34f0c9a2688ca63f0cdfa88002eade93,Buenas noticias. #cancer. RT @CICancer_com: Potential New Way to Suppress Tumor Growth Discovered: http://t.co/ecTHUniCyk,FEMALE,35-49
2f76b43953d8a1f363b46cf452ec3e40,@MarkRaganCEO: 10 important questions to ask on the first day of your job http://t.co/kvITDwG8ot #PR,FEMALE,18-24
da4ce5ffb571d8d038af91e2db60083b,.@mtascon en proyect everywhere http://t.co/oKen7CiHn4,MALE,50-64
d53a5ab018aef4e6608f9ccbe6ca449a,http://t.co/a9CpQwPZO4,FEMALE,35-49
